xc id,xc label,dfa type,condition,satisfied,fraction violated,r_s_range,s_range,zeta_range,alpha_range,q_range
hyb_gga_xc_mpw1lyp,MPW1LYP,HYB_GGA,deriv_lower_bd_check,False,0.217660388,"[0.0001, 2.42479397939794]","[1.8036072144288577, 5.0]","[0.0, 0.9797979797979799]",,
hyb_gga_xc_mpw1lyp,MPW1LYP,HYB_GGA,deriv_upper_bd_check_1,False,0.002681624,"[4.882990639063906, 5.0]","[2.635270541082164, 5.0]","[0.0, 0.6666666666666667]",,
hyb_gga_xc_mpw1lyp,MPW1LYP,HYB_GGA,deriv_upper_bd_check_2,False,0.510747084,"[0.6381510451045105, 5.0]","[1.4128256513026052, 5.0]","[0.0, 0.98989898989899]",,
hyb_gga_xc_mpw1lyp,MPW1LYP,HYB_GGA,second_deriv_check,False,0.203213864,"[0.0006000400040004001, 3.83740699069907]","[0.0, 5.0]","[0.0, 0.98989898989899]",,
hyb_gga_xc_mpw1lyp,MPW1LYP,HYB_GGA,lieb_oxford_bd_check_Uxc,True,0.0,,,,,
hyb_gga_xc_mpw1lyp,MPW1LYP,HYB_GGA,lieb_oxford_bd_check_Exc,True,0.0,,,,,
gga_c_xpbe,XPBE,GGA,lieb_oxford_bd_check_Uxc,True,0.0,,,,,
gga_c_xpbe,XPBE,GGA,lieb_oxford_bd_check_Exc,True,0.0,,,,,
gga_c_xpbe,XPBE,GGA,negativity_check,True,0.0,,,,,
gga_c_xpbe,XPBE,GGA,deriv_lower_bd_check,True,0.0,,,,,
gga_c_xpbe,XPBE,GGA,deriv_upper_bd_check_1,True,0.0,,,,,
gga_c_xpbe,XPBE,GGA,deriv_upper_bd_check_2,True,0.0,,,,,
gga_c_xpbe,XPBE,GGA,second_deriv_check,True,0.0,,,,,
hyb_mgga_xc_xb1k,XB1K,HYB_MGGA,negativity_check,True,0.0,,,,,
hyb_mgga_xc_xb1k,XB1K,HYB_MGGA,deriv_lower_bd_check,True,0.0,,,,,
hyb_mgga_xc_xb1k,XB1K,HYB_MGGA,deriv_upper_bd_check_1,True,0.0,,,,,
hyb_mgga_xc_xb1k,XB1K,HYB_MGGA,deriv_upper_bd_check_2,True,0.0,,,,,
hyb_mgga_xc_xb1k,XB1K,HYB_MGGA,second_deriv_check,True,0.0,,,,,
hyb_mgga_xc_xb1k,XB1K,HYB_MGGA,lieb_oxford_bd_check_Uxc,False,3.7641e-05,"[4.115840848169634, 5.0]","[0.0, 0.10101010101010101]","[0.47368421052631576, 0.9473684210526315]","[4.646464646464646, 5.0]",
